run_id,seed,dataset,ctx_dataset,label_noise,reg_scale,s/test/acc,s/test/sel_acc,s/test/avg_nll,s/test/ece
fib5dwyu,173,cifar10,whitenoise,0.4,1e-06,69.58000063896179,86.6978988647461,1.118127465248108,12.444328920990227
8vck1dwp,157,cifar10,whitenoise,0.4,1e-06,70.87000012397766,87.28565979003906,1.095706582069397,11.635503246635198
2ziay0hp,53,cifar10,whitenoise,0.4,1e-06,68.12999844551086,85.14094543457031,1.2598583698272705,15.747504716515545
nybb5ytr,5,cifar10,whitenoise,0.4,1e-06,67.79999732971191,85.58155822753906,1.2445948123931885,15.124710779339075
uptsooxt,211,cifar10,whitenoise,0.2,0.0,83.84000062942505,95.31106567382812,0.7140148282051086,9.21488452464342
0x5o1ijt,173,cifar10,whitenoise,0.2,0.0,84.16999578475952,95.52508544921876,0.7044936418533325,8.953835740737635
czgd3vi4,157,cifar10,whitenoise,0.2,0.0,84.20999646186829,95.06402587890624,0.7436885833740234,8.911987882996884
wjcza7j5,53,cifar10,whitenoise,0.2,0.0,84.38000082969666,95.36451721191406,0.7002354264259338,8.426278832256795
778zye7h,211,cifar10,whitenoise,0.2,1e-06,85.55999994277954,96.1869125366211,0.5530318021774292,5.72846970975399
bbqfmyx6,5,cifar10,whitenoise,0.2,0.0,84.02999639511108,95.27899169921876,0.7243900895118713,9.18900173033389
6gi6ktnj,173,cifar10,whitenoise,0.2,1e-06,84.90999937057495,95.85507202148438,0.5871570110321045,6.409584870785475
2r5jb1ox,157,cifar10,whitenoise,0.2,1e-06,86.00999712944031,96.20764923095705,0.551918625831604,6.025349893569946
mgl43rwx,53,cifar10,whitenoise,0.2,1e-06,85.71999669075012,96.26343536376952,0.5523884296417236,6.046341879367829
6ejiq8vx,5,cifar10,whitenoise,0.2,1e-06,85.2400004863739,95.96331024169922,0.5829535722732544,6.521333279907704
6h9jfkdx,211,cifar10,whitenoise,0.0,0.0,95.169997215271,99.3599090576172,0.20510555803775787,3.0686906222999095
5a2dybv1,53,cifar10,whitenoise,0.0,0.0,95.08999586105348,99.29779052734376,0.2131139636039734,3.1515539973974236
9h8t5d6g,173,cifar10,whitenoise,0.0,0.0,95.45999765396118,99.32915496826172,0.1916901022195816,2.7766964322328573
9ivqmsmh,157,cifar10,whitenoise,0.0,0.0,95.2299952507019,99.39271545410156,0.18932080268859863,2.819556543380022
3d78necg,5,cifar10,whitenoise,0.0,0.0,95.17999887466432,99.21148681640624,0.20254535973072052,2.90343327358365
h67z3jb1,211,cifar10,whitenoise,0.0,1e-06,95.39999961853029,99.49813079833984,0.1829727739095688,2.919469036832452
q5tl2hd1,157,cifar10,whitenoise,0.0,1e-06,95.5299973487854,99.45555114746094,0.1795874387025833,2.660739431232214
qja68t9q,173,cifar10,whitenoise,0.0,1e-06,95.40999531745912,99.47491455078124,0.19122497737407684,2.808166340440512
6pqj82fn,53,cifar10,whitenoise,0.0,1e-06,95.38999795913696,99.44554138183594,0.18854156136512756,2.7950411346554755
xn5c5n25,5,cifar10,whitenoise,0.0,1e-06,95.17999887466432,99.4333038330078,0.20731891691684723,3.2731469625234606
